Boid Count, Average, Minimum, Maximum
11400,11.95977,11.48442,12.32736
11420,11.92559,11.51881,12.31691
11440,11.8871,11.42917,12.27589
11460,11.84824,11.40584,12.26718
11480,11.82338,11.35633,12.1838
11500,11.72063,11.00794,12.14076
11520,11.73551,11.31456,12.06248
11540,11.6992,11.2115,12.0994
11560,11.65784,11.12824,12.03051
11580,11.60183,10.97743,12.0344
11600,11.59171,11.17261,11.99691
11620,11.52194,10.9248,11.95876
11640,11.46125,9.734502,11.88065
11660,11.44908,11.05253,11.85951
11680,11.42125,10.96822,11.78317
11700,11.37798,11.00604,11.74964
11720,11.34605,10.82266,11.73903
11740,11.30758,10.94271,11.62622
11760,11.27043,10.77778,11.63492
11780,11.25095,10.73725,11.58794
11800,11.20689,10.86511,11.54424
11820,11.18768,10.72784,11.52355
11840,11.14168,10.70494,11.48211
11860,11.12112,10.81549,11.44944
11880,11.08123,10.73038,11.39602
11900,11.05357,10.64795,11.42463
11920,10.96598,8.904712,11.41227
11940,10.97867,10.59158,11.32005
11960,10.9481,10.61891,11.30329
11980,10.89781,10.53154,11.20102
12000,10.86339,10.30998,11.21289
12020,10.83213,10.41304,11.16978
12040,10.776,10.37297,11.11286
12060,10.75476,10.37067,11.06629
12080,10.7122,10.41179,11.02845
12100,10.6541,10.2587,10.96019
12120,10.65336,10.35505,10.96012
12140,10.60974,10.29597,10.90697
12160,10.59056,10.19009,10.9104
12180,10.5599,10.04455,10.88072
12200,10.51476,10.17103,10.8052
12220,10.45138,8.539367,10.80649
12240,10.47392,10.15526,10.7875
12260,10.4388,10.11254,10.78086
12280,10.39521,10.08166,10.73277
12300,10.35514,10.0762,10.65774
12320,10.32505,9.985761,10.62234
12340,10.29206,9.887256,10.58707
12360,10.26248,9.91611,10.54473
12380,10.22309,9.915254,10.49243
12400,10.20045,9.858977,10.47426
12420,10.15257,9.85445,10.42957
12440,10.13915,9.867753,10.41143
12460,10.10886,9.742695,10.3974
12480,10.07606,9.789765,10.35838
12500,10.05127,9.658476,10.34334
12520,10.02242,9.677329,10.28465
12540,9.978753,9.484057,10.29151
