Boid Count, Average, Minimum, Maximum
8060,15.79954,14.84261,16.38807
8080,15.64108,14.82186,16.19656
8100,15.44806,14.50692,15.95698
8120,15.33793,13.72486,15.93062
8140,15.35243,14.58009,15.93854
8160,15.28651,14.17748,15.86297
8180,15.23855,14.18542,15.75898
8200,15.14913,14.16681,15.76588
8220,15.11241,14.13495,15.71033
8240,14.99732,14.07666,15.59055
8260,14.8988,14.06448,15.45225
8280,14.82538,13.96876,15.39971
8300,14.69079,13.84041,15.36434
8320,14.77709,13.96831,15.41609
8340,14.64171,13.64221,15.23728
8360,14.59061,13.77699,15.19152
8380,14.43608,13.63769,15.1221
8400,14.4234,13.65982,15.22807
8420,14.41568,13.60559,15.0546
8440,14.37564,13.62246,14.99671
8460,14.29621,13.44889,14.7975
8480,14.23525,13.44223,14.74133
8500,14.15543,13.4226,14.67724
8520,14.15584,13.31251,14.6538
8540,14.0922,13.39147,14.62882
8560,14.03201,13.32715,14.53214
8580,13.97335,13.25146,14.67942
8600,13.92778,13.39639,14.38923
8620,13.86354,13.08199,14.30906
8640,13.8421,13.19254,14.27313
8660,13.81981,13.16593,14.3232
8680,13.75623,13.15831,14.11508
8700,13.71461,13.16491,14.20471
8720,13.69554,13.00571,14.20769
8740,13.64748,13.01382,14.0761
8760,13.58514,12.97875,13.99709
8780,13.47557,12.96511,13.86678
8800,13.51979,12.78256,13.96912
8820,13.44896,12.78293,13.91397
8840,13.37936,12.77573,13.80373
8860,13.32051,12.5317,13.77781
8880,13.22275,12.66578,13.75726
8900,13.21361,12.49585,13.66404
8920,13.19972,12.62531,13.79394
8940,13.16013,12.72674,13.67271
8960,13.07958,12.29698,13.64121
8980,13.08295,12.42954,13.58076
9000,13.0297,12.56352,13.45348
9020,12.98226,12.42318,13.43983
9040,12.97921,12.21219,13.42284
9060,12.9361,12.4298,13.35654
9080,12.88618,12.04758,13.41164
9100,12.86183,12.24317,13.36173
9120,12.82041,12.20302,13.29614
9140,12.79528,12.30049,13.29158
9160,12.7548,12.23363,13.18058
9180,12.7236,12.21825,13.16228
9200,12.69946,12.15986,13.11551
9220,12.66537,12.14257,13.16947
9240,12.61877,12.04742,13.02808
9260,12.58266,12.22797,13.00761
9280,12.57744,12.13205,13.01853
9300,12.47363,11.15185,12.92384
9320,12.49434,11.94843,12.96526
9340,12.46659,12.04277,12.86508
9360,12.43449,12.0175,12.87775
9380,12.425,11.86615,12.90316
9400,12.38658,11.97372,12.81519
9420,12.32971,11.91578,12.7748
9440,12.28538,11.5355,12.77425
9460,12.27875,11.77607,12.69108
9480,12.21464,11.78088,12.61879
9500,12.1841,11.68653,12.68006
9520,12.11705,11.60087,12.54902
9540,12.0855,11.47174,12.52292
9560,12.03027,11.21452,12.55468
9580,11.99394,11.55208,12.41875
9600,11.95326,11.38642,12.46041
9620,11.89617,11.25614,12.41721
9640,11.78788,11.01148,12.26771
9660,11.64187,11.16706,12.00781
9680,11.54996,11.12128,11.91708
9700,11.43961,10.91572,11.81138
9720,11.41802,11.02,11.75045
9740,11.36612,10.99424,11.7036
9760,11.32173,10.801,11.724
9780,11.26994,10.74098,11.64482
9800,11.18572,10.57293,11.67223
9820,11.18857,10.7478,11.63371
9840,11.16106,10.68711,11.57521
9860,11.10492,10.71677,11.54191
9880,11.04985,10.45562,11.46262
9900,11.02281,10.50396,11.53803
9920,10.963,10.51467,11.47431
9940,10.95556,10.57357,11.38177
9960,10.87541,10.44624,11.32836
9980,10.84223,10.23281,11.30217
10000,10.79649,10.39231,11.29118
10020,10.77943,10.38401,11.20625
10040,10.72096,10.2047,11.16504
10060,10.72626,10.24808,11.08654
10080,10.65722,10.22278,11.0831
10100,10.62283,10.10042,10.97477
10120,10.55134,9.990989,10.93865
10140,10.57518,9.647937,10.93916
10160,10.17686,9.01272,10.83004
10180,10.49779,10.11358,10.87568
10200,10.44885,9.993404,10.81024
10220,10.44745,10.12534,10.85926
10240,10.4254,10.08005,10.77978
10260,10.39271,9.994713,10.71637
10280,10.33038,9.554137,10.65476
10300,10.31141,9.565817,10.67877
10320,10.32162,9.963385,10.69567
10340,10.25352,9.496928,10.73564
10360,10.25053,9.932479,10.58022
10380,10.23694,9.877685,10.60442
10400,10.19863,9.900157,10.54964
10420,10.16553,9.709624,10.44753
10440,10.11905,9.513653,10.41206
10460,10.10444,9.820751,10.39926
10480,10.05331,9.402561,10.36126
10500,10.07456,9.754785,10.38051
10520,10.06011,9.795883,10.32276
10540,9.973338,9.088398,10.32323
